disease,symptoms
"Oral cancer, also known asMouth cancer","A lip or mouth sore that doesn't heal, A white or reddish patch on the inside of your mouth, Loose teeth, A growth or lump inside your mouth, Mouth pain, Ear pain, Difficult or painful swallowing"
"Oral candidiasis, also known asOral thrush","Creamy white lesions on your tongue, inner cheeks, and sometimes on the roof of your mouth, gums and tonsils, Slightly raised lesions with a cottage cheese-like appearance, Redness, burning or soreness that may be severe enough to cause difficulty eating or swallowing, Slight bleeding if the lesions are rubbed or scraped, Cracking and redness at the corners of your mouth, A cottony feeling in your mouth, Loss of taste, Redness, irritation and pain under dentures (denture stomatitis)"
Oral lichen planus,"Lacy, white, raised patches of tissues, Red, swollen, tender patches of tissues, Open sores"
Oral thrush,"Creamy white lesions on your tongue, inner cheeks, and sometimes on the roof of your mouth, gums and tonsils, Slightly raised lesions with a cottage cheese-like appearance, Redness, burning or soreness that may be severe enough to cause difficulty eating or swallowing, Slight bleeding if the lesions are rubbed or scraped, Cracking and redness at the corners of your mouth, A cottony feeling in your mouth, Loss of taste, Redness, irritation and pain under dentures (denture stomatitis)"
Orthostatic hypotension (postural hypotension),"Lightheadedness or dizziness upon standing, Blurry vision, Weakness, Fainting (syncope), Confusion"
Osteoarthritis,"Pain. Affected joints might hurt during or after movement., Stiffness. Joint stiffness might be most noticeable upon awakening or after being inactive., Tenderness. Your joint might feel tender when you apply light pressure to or near it., Loss of flexibility. You might not be able to move your joint through its full range of motion., Grating sensation. You might feel a grating sensation when you use the joint, and you might hear popping or crackling., Bone spurs. These extra bits of bone, which feel like hard lumps, can form around the affected joint., Swelling. This might be caused by soft tissue inflammation around the joint."
"Osteoarthritis, cervical, also known asCervical spondylosis","Tingling, numbness and weakness in the arms, hands, legs or feet, Lack of coordination and difficulty walking, Loss of bladder or bowel control"
Osteochondritis dissecans,"Pain. This most common symptom of osteochondritis dissecans might be triggered by physical activity — walking up stairs, climbing a hill or playing sports., Swelling and tenderness. The skin around your joint might be swollen and tender., Joint popping or locking. Your joint might pop or stick in one position if a loose fragment gets caught between bones during movement., Joint weakness. You might feel as though your joint is ""giving way"" or weakening., Decreased range of motion. You might be unable to straighten the affected limb completely."
"Osteogenic sarcoma, also known asOsteosarcoma","Swelling near a bone, Bone or joint pain, Bone injury or bone break for no clear reason"
Osteomyelitis,"Fever, Swelling, warmth and redness over the area of the infection, Pain in the area of the infection, Fatigue"
"Osteonecrosis, also known asAvascular necrosis (osteonecrosis)","Joint or bone trauma. An injury, such as a dislocated joint, might damage nearby blood vessels. Cancer treatments involving radiation also can weaken bone and harm blood vessels., Fatty deposits in blood vessels. The fat (lipids) can block small blood vessels. This can reduce blood flow to bones., Certain diseases. Medical conditions, such as sickle cell anemia and Gaucher's disease, also can lessen blood flow to bone."
"Osteophytes, also known asBone spurs","Knee. Bone spurs in your knee can make it painful to extend and bend your leg., Spine. On your vertebrae, bone spurs can narrow the space that contains your spinal cord. These bone spurs can pinch the spinal cord or its nerve roots and can cause weakness or numbness in your arms or legs., Hip. Bone spurs can make it painful to move your hip, although you might feel the pain in your knee. Depending on their placement, bone spurs can reduce the range of motion in your hip joint."
Osteoporosis,"Back pain, caused by a fractured or collapsed vertebra, Loss of height over time, A stooped posture, A bone that breaks much more easily than expected"
Osteosarcoma,"Swelling near a bone, Bone or joint pain, Bone injury or bone break for no clear reason"
"Otitis externa, also known asSwimmer's ear","Itching in your ear canal, Slight redness inside your ear, Mild discomfort that's made worse by pulling on your outer ear (pinna or auricle) or pushing on the little ""bump"" in front of your ear (tragus), Some drainage of clear, odorless fluid"
"Otitis media, also known asEar infection (middle ear)","Ear pain, especially when lying down, Tugging or pulling at an ear, Trouble sleeping, Crying more than usual, Fussiness, Trouble hearing or responding to sounds, Loss of balance, Fever of 100 F (38 C) or higher, Drainage of fluid from the ear, Headache, Loss of appetite"
"Outer ear infection, also known asSwimmer's ear","Itching in your ear canal, Slight redness inside your ear, Mild discomfort that's made worse by pulling on your outer ear (pinna or auricle) or pushing on the little ""bump"" in front of your ear (tragus), Some drainage of clear, odorless fluid"
Ovarian cancer,"Abdominal bloating or swelling, Quickly feeling full when eating, Weight loss, Discomfort in the pelvic area, Fatigue, Back pain, Changes in bowel habits, such as constipation, A frequent need to urinate"
Ovarian cysts,"Pelvic pain that may come and go. You may feel a dull ache or a sharp pain in the area below your bellybutton toward one side., Fullness, pressure or heaviness in your belly (abdomen)., Bloating."
Ovarian hyperstimulation syndrome,"Mild to moderate abdominal pain, Abdominal bloating or increased waist size, Nausea, Vomiting, Diarrhea, Tenderness in the area of your ovaries"
Overactive bladder,"Feel a sudden urge to urinate that's difficult to control, Experience unintentional loss of urine immediately after an urgent need to urinate (urgency incontinence), Urinate frequently, usually eight or more times in 24 hours, Wake up more than two times in the night to urinate (nocturia)"
"Overactive thyroid, also known asHyperthyroidism (overactive thyroid)","Losing weight without trying., Fast heartbeat, a condition called tachycardia., Irregular heartbeat, also called arrhythmia., Pounding of the heart, sometimes called heart palpitations., Increased hunger., Nervousness, anxiety and irritability., Tremor, usually a small trembling in the hands and fingers., Sweating., Changes in menstrual cycles., Increased sensitivity to heat., Changes in bowel patterns, especially more-frequent bowel movements., Enlarged thyroid gland, sometimes called a goiter, which may appear as a swelling at the base of the neck., Tiredness., Muscle weakness., Sleep problems., Warm, moist skin., Thinning skin., Fine, brittle hair."
